"","label","levels","not_sf94","S/F94"
"1","age_estimateyears","Median (IQR)","65.0 (52.0 to 79.0)","71.0 (57.0 to 82.0)"
"2","sex","Male","19335 (57.1)","111244 (57.9)"
"3","","Female","14510 (42.9)","80986 (42.1)"
"4","","Not specified","0 (0.0)","0 (0.0)"
"5","rr_vsorres","Median (IQR)","21.0 (18.0 to 26.0)","20.0 (18.0 to 25.0)"
"6","daily_temp_vsorres","Median (IQR)","37.2 (36.7 to 37.9)","37.2 (36.8 to 38.0)"
"7","systolic_vsorres","Median (IQR)","122.0 (107.0 to 142.0)","116.0 (103.0 to 138.0)"
"8","diastolic_vsorres","Median (IQR)","70.0 (60.0 to 80.0)","66.0 (57.0 to 77.0)"
"9","daily_crp_lborres","Median (IQR)","79.0 (37.0 to 142.0)","85.0 (38.8 to 159.4)"
"10","daily_bun_lborres","Median (IQR)","6.0 (4.2 to 9.0)","7.0 (4.8 to 10.9)"
"11","daily_creat_lborres","Median (IQR)","80.0 (66.0 to 105.0)","86.0 (68.0 to 120.0)"
"12","daily_urine_lborres","Median (IQR)","1280.0 (556.8 to 2046.2)","1000.9 (400.0 to 1839.0)"
"13","daily_gcs_vsorres","Median (IQR)","15.0 (15.0 to 15.0)","15.0 (15.0 to 15.0)"
"14","clinical_frailty","Median (IQR)","3.0 (2.0 to 5.0)","4.0 (2.0 to 6.0)"
"15","onset2admission","Median (IQR)","5.0 (1.0 to 9.0)","4.0 (0.0 to 8.0)"
"16","infiltrates_faorres","YES","9821 (68.8)","52001 (66.6)"
"17","","NO","4451 (31.2)","26021 (33.4)"
"18","","N/A","0 (0.0)","0 (0.0)"
"19","severity_scale_ordinal","4","8838 (26.1)","71633 (37.2)"
"20","","5","15464 (45.6)","53610 (27.8)"
"21","","6","7100 (20.9)","46473 (24.1)"
"22","","7","1183 (3.5)","3063 (1.6)"
"23","","8","989 (2.9)","8782 (4.6)"
"24","","9","332 (1.0)","3004 (1.6)"
"25","","10","0 (0.0)","6017 (3.1)"
"26","mortality_28","0","33906 (100.0)","141902 (73.7)"
"27","","1","0 (0.0)","50681 (26.3)"
