"","outcome_measure","treatment_effect","effect_size","effect_size_lcl","effect_size_ucl"
"1","S/F94 day 5",0.85,0.179022357645205,0.165598574231719,0.191230100718725
"2","S/F94 day 5",0.8,0.240376677325817,0.223078118951439,0.255691664576746
"3","S/F94 day 5",0.75,0.303506394267259,0.282990763730295,0.325178484348294
"4","S/F94 day 5",0.7,0.368957654101752,0.342967113911156,0.393850285459175
"5","WHO day 5",0.85,0.833198349146643,0.832236559067965,0.834256175005786
"6","WHO day 5",0.8,0.779053588845532,0.777815237497551,0.780381217366065
"7","WHO day 5",0.75,0.725613055356266,0.7242106850981,0.726997435892522
"8","WHO day 5",0.7,0.672863098297583,0.67131831252724,0.674480116266982
"9","Sustained 1 level improvement",0.85,0.0266472351917647,0.0232042185914051,0.0417802678895663
"10","Sustained 1 level improvement",0.8,0.0361309546492739,0.031480813807446,0.0566335536472287
"11","Sustained 1 level improvement",0.75,0.0460127274668681,0.0401402130829063,0.0721315628038292
"12","Sustained 1 level improvement",0.7,0.0563648912934204,0.049150788996107,0.0883526564114639
"13","Protocolised S/F94 day 5",0.85,0.176337799600999,0.163729687028052,0.188932135972018
"14","Protocolised S/F94 day 5",0.8,0.239194509213619,0.220661834444929,0.254333337263387
"15","Protocolised S/F94 day 5",0.75,0.304779966740852,0.283004057096492,0.325939483195118
"16","Protocolised S/F94 day 5",0.7,0.373592583368571,0.347059417528623,0.399619937380778
