"","variable","n_miss","pct_miss"
"1","sf94_day16",15575,98.7321711568938
"2","sf94_day15",15565,98.6687797147385
"3","sf94_day14",15452,97.9524564183835
"4","sf94_day13",15434,97.838351822504
"5","sf94_day12",15418,97.7369255150555
"6","sf94_day7",15316,97.0903328050713
"7","sf94_day10",15287,96.9064976228209
"8","sf94_day11",15270,96.7987321711569
"9","sf94_day6",15233,96.5641838351822
"10","sf94_day9",15222,96.4944532488114
"11","sf94_day4",15218,96.4690966719493
"12","sf94_day3",15092,95.6703645007924
"13","sf94_day1",14890,94.3898573692552
"14","who_days_to_improve2",14109,89.4389857369255
"15","who_days_to_improve1",11631,73.7305863708399
"16","day_of_death",11415,72.3613312202853
"17","sf94_day5",9811,62.1933438985737
"18","sf94_day2",9793,62.0792393026941
"19","sf94_day5_P",9424,59.7400950871632
"20","who_day5",8184,51.8795562599049
"21","who_day5_P",7797,49.4263074484945
"22","sf94_day8",6666,42.256735340729
"23","who_day8",6645,42.1236133122028
"24","day_of_discharge",5060,32.0760697305864
"25","sf94_day0",3390,21.4896988906498
"26","sustained_1L_improvement",3041,19.2773375594295
"27","sustained_2L_improvement",3041,19.2773375594295
"28","outcome",664,4.20919175911252
"29","who_day0",555,3.51822503961965
"30","age_estimateyears",492,3.1188589540412
"31","sex",30,0.190174326465927
"32","subjid",0,0
"33","mortality_28",0,0
"34","sf94_day8_P",0,0
"35","who_day8_P",0,0
