"","outcome_measure","treatment_effect","effect_size","effect_size_lcl","effect_size_ucl"
"1","S/F94 day 5",0.85,0.180252630442927,0.167386806172669,0.192363274611236
"2","S/F94 day 5",0.8,0.241834729522857,0.222866173573689,0.257374057680033
"3","S/F94 day 5",0.75,0.305130121741159,0.28233475996131,0.325520207633725
"4","S/F94 day 5",0.7,0.370693074539447,0.343654328563334,0.395210727297774
"5","WHO day 5",0.85,0.833921263999259,0.832988340034011,0.834945665029302
"6","WHO day 5",0.8,0.779949190770911,0.778843164072348,0.781127415101214
"7","WHO day 5",0.75,0.72664927075263,0.725208569349555,0.727953506648711
"8","WHO day 5",0.7,0.67400902543228,0.672481379367921,0.675629162565464
"9","WHO day 5",0.85,0.0336952729497152,0.0311810472564983,0.0370216033480355
"10","WHO day 5",0.8,0.0456487492042161,0.0422317277420102,0.0500572536357314
"11","WHO day 5",0.75,0.0580886974433442,0.0534895564836252,0.0637484705172598
"12","WHO day 5",0.7,0.0711072249935973,0.0656024172652083,0.0780402901935703
"13","WHO day 5",0.85,0.176652004272574,0.164968681675486,0.188638415983763
"14","WHO day 5",0.8,0.239534570197987,0.220767573740909,0.255760665733005
"15","WHO day 5",0.75,0.305111026900743,0.282687246277542,0.327048372108412
"16","WHO day 5",0.7,0.373880641538966,0.346427367241441,0.400874988326425
