"","outcome_measure","treatment_effect","sample_size","sample_size_lcl","sample_size_ucl"
"1","28-day mortality",0.85,5143,5024,5268
"2","28-day mortality",0.8,2857,2791,2926
"3","28-day mortality",0.75,1805,1763,1848
"4","28-day mortality",0.7,1236,1208,1265
"5","S/F94 day 5",0.85,1444,1268,1674
"6","S/F94 day 5",0.8,802,708,944
"7","S/F94 day 5",0.75,504,444,590
"8","S/F94 day 5",0.7,342,302,398
"9","WHO day 5",0.85,2990.20487810065,2953.71407213358,3031.01020625275
"10","WHO day 5",0.8,1597.82558102457,1579.75406256081,1617.39133099102
"11","WHO day 5",0.75,968.565572630209,956.654579090836,979.52054306622
"12","WHO day 5",0.7,634.957510678845,627.729557478504,642.742161172817
"13","Sustained 1 level improvement",0.85,3437.51335892842,2848.6876758725,4012.93249318249
"14","Sustained 1 level improvement",0.8,1875.37106660711,1560.18947016273,2190.39820674903
"15","Sustained 1 level improvement",0.75,1159.24292385968,962.825943826062,1366.74544720148
"16","Sustained 1 level improvement",0.7,774.058880721906,642.709981150895,909.247641223844
"17","Protocolised S/F94 day 5",0.85,630,552,722
"18","Protocolised S/F94 day 5",0.8,342,300,404
"19","Protocolised S/F94 day 5",0.75,212,184,246
"20","Protocolised S/F94 day 5",0.7,142,124,164
