"","label","levels","not_sf94","S/F94"
"1","age_estimateyears","Median (IQR)","69.0 (55.0 to 82.0)","71.0 (57.0 to 82.0)"
"2","sex","Male","32022 (57.5)","111244 (57.9)"
"3","","Female","23640 (42.5)","80986 (42.1)"
"4","","Not specified","0 (0.0)","0 (0.0)"
"5","rr_vsorres","Median (IQR)","22.0 (18.0 to 26.0)","20.0 (18.0 to 25.0)"
"6","daily_temp_vsorres","Median (IQR)","37.1 (36.7 to 37.8)","37.2 (36.8 to 38.0)"
"7","systolic_vsorres","Median (IQR)","120.0 (105.0 to 140.0)","116.0 (103.0 to 138.0)"
"8","diastolic_vsorres","Median (IQR)","69.0 (59.0 to 80.0)","66.0 (57.0 to 77.0)"
"9","daily_crp_lborres","Median (IQR)","84.0 (39.0 to 152.0)","85.0 (38.8 to 159.4)"
"10","daily_bun_lborres","Median (IQR)","6.7 (4.6 to 10.5)","7.0 (4.8 to 10.9)"
"11","daily_creat_lborres","Median (IQR)","84.0 (67.0 to 119.0)","86.0 (68.0 to 120.0)"
"12","daily_urine_lborres","Median (IQR)","1020.0 (450.0 to 1890.0)","1000.9 (400.0 to 1839.0)"
"13","daily_gcs_vsorres","Median (IQR)","15.0 (15.0 to 15.0)","15.0 (15.0 to 15.0)"
"14","clinical_frailty","Median (IQR)","4.0 (2.0 to 6.0)","4.0 (2.0 to 6.0)"
"15","onset2admission","Median (IQR)","4.0 (0.0 to 8.0)","4.0 (0.0 to 8.0)"
"16","infiltrates_faorres","YES","14525 (68.7)","52001 (66.6)"
"17","","NO","6626 (31.3)","26021 (33.4)"
"18","","N/A","0 (0.0)","0 (0.0)"
"19","severity_scale_ordinal","4","15586 (27.9)","71633 (37.2)"
"20","","5","23220 (41.6)","53610 (27.8)"
"21","","6","11764 (21.1)","46473 (24.1)"
"22","","7","1789 (3.2)","3063 (1.6)"
"23","","8","1900 (3.4)","8782 (4.6)"
"24","","9","784 (1.4)","3004 (1.6)"
"25","","10","722 (1.3)","6017 (3.1)"
"26","mortality_28","0","45288 (81.2)","141902 (73.7)"
"27","","1","10477 (18.8)","50681 (26.3)"
