"","outcome_measure","treatment_effect","effect_size","effect_size_lcl","effect_size_ucl"
"1","S/F94 day 5",0.85,0.179918572868836,0.167524001238062,0.193318846929475
"2","S/F94 day 5",0.8,0.241170276899573,0.22262167130535,0.258088973472498
"3","S/F94 day 5",0.75,0.304057847406198,0.282843607223617,0.324485035319532
"4","S/F94 day 5",0.7,0.369141598037089,0.343196482969095,0.395346179209619
"5","WHO day 5",0.85,0.833606870394921,0.83269007149905,0.83456465734352
"6","WHO day 5",0.8,0.779559634051731,0.778411330110539,0.780912316788905
"7","WHO day 5",0.75,0.726198481078398,0.724728872976266,0.727647058472218
"8","WHO day 5",0.7,0.673510430008175,0.672004654073053,0.675092202587481
"9","WHO day 5",0.85,0.0336952729497152,0.0308809672778405,0.0370132783371073
"10","WHO day 5",0.8,0.0456487492042161,0.0419113605002948,0.0500481620578636
"11","WHO day 5",0.75,0.0580886974433442,0.0534441776094956,0.0637050506702761
"12","WHO day 5",0.7,0.0711072249935973,0.0656262207940603,0.0779992396713357
"13","WHO day 5",0.85,0.176033349916915,0.163148115288236,0.188067429096304
"14","WHO day 5",0.8,0.238559285327889,0.221868836439431,0.253519918753948
"15","WHO day 5",0.75,0.303711118002335,0.281593341139684,0.32536698776928
"16","WHO day 5",0.7,0.371987972343581,0.346469055355727,0.398207262099104
