"","variable","n_miss","pct_miss"
"1","sf94_day16",18428,98.698516415832
"2","sf94_day15",18389,98.4896363344224
"3","sf94_day14",18249,97.7398104011569
"4","sf94_day12",18241,97.6969632049703
"5","sf94_day13",18241,97.6969632049703
"6","sf94_day10",18101,96.9471372717048
"7","sf94_day11",18041,96.6257833003053
"8","sf94_day8",11534,61.7749451020299
"9","sf94_day8_P",9515,50.9613839644368
"10","sf94_day0",5390,28.8682984307214
"11","sf94_day5",5085,27.2347490761073
"12","subjid",0,0
"13","sf94_day5_P",0,0
