"","variable","n_miss","pct_miss"
"1","X1",127951,90.9621509412501
"2","X3",109608,77.9218563385088
"3","X4",104360,74.19097992379
"4","X2",97998,69.6681453676847
"5","X6",87096,61.9177614741512
"6","X7",82256,58.4769379514304
"7","X5",80812,57.4503782062219
"8","X9",68669,48.8177500995279
"9","X0",66567,47.3234089745777
"10","X10",65121,46.2954274014673
"11","X8",64658,45.9662742421657
"12","X11",60544,43.041574247853
"13","X12",57012,40.530626173008
"14","X13",53584,38.0936131490644
"15","X14",50254,35.7262696923164
"16","X15",47594,33.8352385827219
"17","X16",45110,32.0693283284991
"18","subjid",0,0
