"","variable","n_miss","pct_miss"
"1","sf94_day16",56837,98.9932944352521
"2","sf94_day15",56728,98.8034485761561
"3","sf94_day13",56532,98.462074370809
"4","sf94_day12",56511,98.4254985630933
"5","sf94_day14",56427,98.2791953322302
"6","sf94_day11",56255,97.9796220499869
"7","sf94_day10",56229,97.9343377166246
"8","sf94_day8",47680,83.0445005660542
"9","sf94_day5",43591,75.9226682922581
"10","sf94_day8_P",40472,70.490289993904
"11","sf94_day5_P",38445,66.9598536967691
"12","sf94_day0",7724,13.4529304188801
"13","subjid",0,0
