"","outcome_measure","treatment_effect","sample_size","sample_size_lcl","sample_size_ucl"
"1","28-day mortality",0.85,5143,5024,5268
"2","28-day mortality",0.8,2857,2791,2926
"3","28-day mortality",0.75,1805,1763,1848
"4","28-day mortality",0.7,1236,1208,1265
"5","S/F94 day 5",0.85,1462,1264,1688
"6","S/F94 day 5",0.8,812,710,954
"7","S/F94 day 5",0.75,512,446,594
"8","S/F94 day 5",0.7,348,302,404
"9","WHO day 5",0.85,2971.15541436492,2931.72684912468,3011.49680673365
"10","WHO day 5",0.8,1587.95396169868,1567.93453561217,1608.32237154918
"11","WHO day 5",0.75,962.771395920062,950.779852068355,974.431453126111
"12","WHO day 5",0.7,631.286015633404,623.560258786159,638.957401412645
"13","Sustained 1 level improvement",0.85,3437.51335892842,2849.96653452099,4091.14029775227
"14","Sustained 1 level improvement",0.8,1875.37106660711,1560.75520749871,2223.9399380791
"15","Sustained 1 level improvement",0.75,1159.24292385968,964.136969763019,1369.06292386254
"16","Sustained 1 level improvement",0.7,774.058880721906,643.386455250307,908.58904256373
"17","Protocolised S/F94 day 5",0.85,628,550,730
"18","Protocolised S/F94 day 5",0.8,342,302,394
"19","Protocolised S/F94 day 5",0.75,212,184,244
"20","Protocolised S/F94 day 5",0.7,140,124,162
